track_id,roi_id,event_type,timestamp,frame_number
1,ROI_1,ENTRY,2026-09-10 18:20:03,1
2,ROI_1,ENTRY,2026-09-10 18:20:03,1
3,ROI_1,ENTRY,2026-09-10 18:20:03,1
4,ROI_2,ENTRY,2026-09-10 18:20:03,1
5,ROI_1,ENTRY,2026-09-10 18:20:03,1
6,ROI_2,ENTRY,2026-09-10 18:20:03,1
8,ROI_2,ENTRY,2026-09-10 18:20:03,1
10,ROI_1,ENTRY,2026-09-10 18:20:03,1
11,ROI_2,ENTRY,2026-09-10 18:20:03,1
12,ROI_1,ENTRY,2026-09-10 18:20:03,1
13,ROI_2,ENTRY,2026-09-10 18:20:03,1
15,ROI_2,ENTRY,2026-09-10 18:20:03,1
13,ROI_2,EXIT,2026-09-10 18:20:09,22
21,ROI_2,ENTRY,2026-09-10 18:20:12,32
24,ROI_1,ENTRY,2026-09-10 18:20:24,73
25,ROI_1,ENTRY,2026-09-10 18:20:24,74
26,ROI_2,ENTRY,2026-09-10 18:20:24,74
6,ROI_2,EXIT,2026-09-10 18:20:26,79
31,ROI_2,ENTRY,2026-09-10 18:20:34,107
1,ROI_1,EXIT,2026-09-10 18:20:35,111
6,ROI_1,ENTRY,2026-09-10 18:20:39,124
35,ROI_1,ENTRY,2026-09-10 18:20:49,168
36,ROI_2,ENTRY,2026-09-10 18:20:49,170
37,ROI_2,ENTRY,2026-09-10 18:20:50,171
38,ROI_1,ENTRY,2026-09-10 18:20:50,172
39,ROI_2,ENTRY,2026-09-10 18:20:50,172
35,ROI_1,EXIT,2026-09-10 18:20:50,173
35,ROI_2,ENTRY,2026-09-10 18:21:01,207
44,ROI_1,ENTRY,2026-09-10 18:21:03,213
47,ROI_1,ENTRY,2026-09-10 18:21:07,228
48,ROI_2,ENTRY,2026-09-10 18:21:08,233
52,ROI_1,ENTRY,2026-09-10 18:21:10,242
55,ROI_1,ENTRY,2026-09-10 18:21:11,247
56,ROI_2,ENTRY,2026-09-10 18:21:12,250
57,ROI_1,ENTRY,2026-09-10 18:21:12,250
6,ROI_1,EXIT,2026-09-10 18:21:14,264
61,ROI_2,ENTRY,2026-09-10 18:21:17,275
64,ROI_1,ENTRY,2026-09-10 18:21:18,284
45,ROI_2,ENTRY,2026-09-10 18:21:20,292
59,ROI_1,ENTRY,2026-09-10 18:21:22,297
45,ROI_2,EXIT,2026-09-10 18:21:28,317
45,ROI_1,ENTRY,2026-09-10 18:21:28,319
67,ROI_2,ENTRY,2026-09-10 18:21:29,320
72,ROI_1,ENTRY,2026-09-10 18:21:32,336
75,ROI_2,ENTRY,2026-09-10 18:21:33,339
29,ROI_2,ENTRY,2026-09-10 18:21:35,350
29,ROI_2,EXIT,2026-09-10 18:21:37,357
78,ROI_1,ENTRY,2026-09-10 18:21:37,359
29,ROI_2,ENTRY,2026-09-10 18:21:38,361
72,ROI_1,EXIT,2026-09-10 18:21:43,385
80,ROI_1,ENTRY,2026-09-10 18:21:46,402
83,ROI_1,ENTRY,2026-09-10 18:21:49,413
84,ROI_2,ENTRY,2026-09-10 18:21:49,414
85,ROI_2,ENTRY,2026-09-10 18:21:51,421
87,ROI_1,ENTRY,2026-09-10 18:21:52,426
75,ROI_2,EXIT,2026-09-10 18:21:53,428
75,ROI_2,ENTRY,2026-09-10 18:21:56,437
88,ROI_2,ENTRY,2026-09-10 18:21:56,438
89,ROI_2,ENTRY,2026-09-10 18:21:56,439
90,ROI_1,ENTRY,2026-09-10 18:21:57,442
75,ROI_2,EXIT,2026-09-10 18:21:58,443
75,ROI_2,ENTRY,2026-09-10 18:21:59,447
75,ROI_2,EXIT,2026-09-10 18:22:00,450
75,ROI_2,ENTRY,2026-09-10 18:22:00,451
92,ROI_2,ENTRY,2026-09-10 18:22:02,458
75,ROI_2,EXIT,2026-09-10 18:22:04,466
94,ROI_2,ENTRY,2026-09-10 18:22:04,467
95,ROI_1,ENTRY,2026-09-10 18:22:05,470
75,ROI_2,ENTRY,2026-09-10 18:22:06,478
75,ROI_2,EXIT,2026-09-10 18:22:07,482
97,ROI_2,ENTRY,2026-09-10 18:22:11,494
98,ROI_1,ENTRY,2026-09-10 18:22:13,503
99,ROI_2,ENTRY,2026-09-10 18:22:13,503
67,ROI_2,EXIT,2026-09-10 18:22:13,505
