track_id,roi_id,event_type,timestamp,frame_number
1,ROI_1,ENTRY,2026-09-12 12:44:10,1
2,ROI_1,ENTRY,2026-09-12 12:44:10,1
4,ROI_1,ENTRY,2026-09-12 12:44:10,1
5,ROI_1,ENTRY,2026-09-12 12:44:16,24
4,ROI_1,EXIT,2026-09-12 12:44:16,25
6,ROI_2,ENTRY,2026-09-12 12:44:19,42
7,ROI_1,ENTRY,2026-09-12 12:44:20,50
5,ROI_1,EXIT,2026-09-12 12:44:23,63
8,ROI_1,ENTRY,2026-09-12 12:44:23,66
3,ROI_2,ENTRY,2026-09-12 12:44:23,67
4,ROI_2,ENTRY,2026-09-12 12:44:27,91
9,ROI_1,ENTRY,2026-09-12 12:44:28,94
11,ROI_1,ENTRY,2026-09-12 12:44:30,108
12,ROI_1,ENTRY,2026-09-12 12:44:31,110
2,ROI_1,EXIT,2026-09-12 12:44:32,115
10,ROI_2,ENTRY,2026-09-12 12:44:33,125
10,ROI_2,EXIT,2026-09-12 12:44:35,136
10,ROI_2,ENTRY,2026-09-12 12:44:35,137
5,ROI_2,ENTRY,2026-09-12 12:44:37,148
5,ROI_2,EXIT,2026-09-12 12:44:38,154
5,ROI_2,ENTRY,2026-09-12 12:44:39,157
13,ROI_2,ENTRY,2026-09-12 12:44:42,173
2,ROI_2,ENTRY,2026-09-12 12:44:45,193
16,ROI_2,ENTRY,2026-09-12 12:44:52,232
10,ROI_2,EXIT,2026-09-12 12:44:52,237
17,ROI_2,ENTRY,2026-09-12 12:44:53,238
18,ROI_1,ENTRY,2026-09-12 12:44:56,256
19,ROI_2,ENTRY,2026-09-12 12:44:57,264
4,ROI_2,EXIT,2026-09-12 12:45:00,279
21,ROI_1,ENTRY,2026-09-12 12:45:02,290
22,ROI_2,ENTRY,2026-09-12 12:45:02,292
10,ROI_1,ENTRY,2026-09-12 12:45:03,297
4,ROI_2,ENTRY,2026-09-12 12:45:05,309
25,ROI_2,ENTRY,2026-09-12 12:45:07,324
26,ROI_1,ENTRY,2026-09-12 12:45:08,326
22,ROI_2,EXIT,2026-09-12 12:45:08,329
13,ROI_2,EXIT,2026-09-12 12:45:11,341
22,ROI_2,ENTRY,2026-09-12 12:45:12,347
27,ROI_1,ENTRY,2026-09-12 12:45:12,352
28,ROI_1,ENTRY,2026-09-12 12:45:14,360
30,ROI_2,ENTRY,2026-09-12 12:45:15,364
31,ROI_2,ENTRY,2026-09-12 12:45:22,406
13,ROI_1,ENTRY,2026-09-12 12:45:22,409
4,ROI_2,EXIT,2026-09-12 12:45:23,415
32,ROI_2,ENTRY,2026-09-12 12:45:27,436
22,ROI_2,EXIT,2026-09-12 12:45:28,443
33,ROI_2,ENTRY,2026-09-12 12:45:30,454
4,ROI_1,ENTRY,2026-09-12 12:45:30,455
35,ROI_1,ENTRY,2026-09-12 12:45:32,468
32,ROI_2,EXIT,2026-09-12 12:45:33,471
37,ROI_1,ENTRY,2026-09-12 12:45:34,476
38,ROI_2,ENTRY,2026-09-12 12:45:35,480
39,ROI_1,ENTRY,2026-09-12 12:45:35,486
22,ROI_1,ENTRY,2026-09-12 12:45:36,489
36,ROI_2,ENTRY,2026-09-12 12:45:36,490
33,ROI_2,EXIT,2026-09-12 12:45:40,513
40,ROI_2,ENTRY,2026-09-12 12:45:41,516
41,ROI_2,ENTRY,2026-09-12 12:45:41,520
41,ROI_2,EXIT,2026-09-12 12:45:43,527
32,ROI_1,ENTRY,2026-09-12 12:45:45,538
42,ROI_2,ENTRY,2026-09-12 12:45:45,540
43,ROI_1,ENTRY,2026-09-12 12:45:51,576
42,ROI_2,EXIT,2026-09-12 12:45:52,581
42,ROI_2,ENTRY,2026-09-12 12:45:53,585
44,ROI_1,ENTRY,2026-09-12 12:45:53,588
46,ROI_1,ENTRY,2026-09-12 12:45:56,606
31,ROI_2,EXIT,2026-09-12 12:45:59,625
47,ROI_1,ENTRY,2026-09-12 12:46:06,660
33,ROI_1,ENTRY,2026-09-12 12:46:07,663
31,ROI_1,ENTRY,2026-09-12 12:46:15,697
48,ROI_2,ENTRY,2026-09-12 12:46:15,698
49,ROI_1,ENTRY,2026-09-12 12:46:18,710
50,ROI_2,ENTRY,2026-09-12 12:46:24,744
42,ROI_2,EXIT,2026-09-12 12:46:43,862
42,ROI_1,ENTRY,2026-09-12 12:47:25,981
52,ROI_2,ENTRY,2026-09-12 12:47:44,1041
53,ROI_1,ENTRY,2026-09-12 12:47:47,1052
54,ROI_2,ENTRY,2026-09-12 12:47:50,1060
52,ROI_2,EXIT,2026-09-12 12:47:52,1067
54,ROI_2,EXIT,2026-09-12 12:47:53,1073
55,ROI_1,ENTRY,2026-09-12 12:47:57,1084
56,ROI_1,ENTRY,2026-09-12 12:48:00,1096
56,ROI_1,EXIT,2026-09-12 12:48:02,1104
