track_id,roi_id,entry_time,exit_time,duration_seconds
4,ROI_1,2026-09-12 12:44:10,2026-09-12 12:44:16,6.13
5,ROI_1,2026-09-12 12:44:16,2026-09-12 12:44:23,7.18
2,ROI_1,2026-09-12 12:44:10,2026-09-12 12:44:32,22.08
10,ROI_2,2026-09-12 12:44:33,2026-09-12 12:44:35,1.83
5,ROI_2,2026-09-12 12:44:37,2026-09-12 12:44:38,1.04
10,ROI_2,2026-09-12 12:44:35,2026-09-12 12:44:52,17.05
4,ROI_2,2026-09-12 12:44:27,2026-09-12 12:45:00,32.16
22,ROI_2,2026-09-12 12:45:02,2026-09-12 12:45:08,6.45
13,ROI_2,2026-09-12 12:44:42,2026-09-12 12:45:11,28.96
4,ROI_2,2026-09-12 12:45:05,2026-09-12 12:45:23,18.39
22,ROI_2,2026-09-12 12:45:12,2026-09-12 12:45:28,16.52
32,ROI_2,2026-09-12 12:45:27,2026-09-12 12:45:33,6.11
33,ROI_2,2026-09-12 12:45:30,2026-09-12 12:45:40,10.08
41,ROI_2,2026-09-12 12:45:41,2026-09-12 12:45:43,1.28
42,ROI_2,2026-09-12 12:45:45,2026-09-12 12:45:52,7.14
31,ROI_2,2026-09-12 12:45:22,2026-09-12 12:45:59,37.65
42,ROI_2,2026-09-12 12:45:53,2026-09-12 12:46:43,50.81
52,ROI_2,2026-09-12 12:47:44,2026-09-12 12:47:52,7.39
54,ROI_2,2026-09-12 12:47:50,2026-09-12 12:47:53,3.89
56,ROI_1,2026-09-12 12:48:00,2026-09-12 12:48:02,2.25
